externalId,Product Review (2),Product Review (7),News Coverage (2),News Coverage (7),Unboxing (2),Unboxing (7),Demonstration (2),Demonstration (7),Advertisement (2),Advertisement (7),Unstructured Use (2),Unstructured Use (7),Unsure (2),Unsure (7),Not Relevent (2),Not Relevent (7)
P6Ji45lo6QU,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
_WP2XwBhmAk,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
_Xi5ZVbbftI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03RKbQ43Jvc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0fO1mz1Y4e4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12tSdGxAtHU,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2M-xRye03vI,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2PqbekOBTjE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2R2oxzlbpCE,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2T4TV4xOZWg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2ukt1D-RqTk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3MB5diOes9g,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3ZuJQKy5H4g,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4MGJp1nj7Zc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5GoZZKcNZiQ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5p-IomO71vc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
622Q3U63BYU,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6oNzvmk9vVU,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7EzjMKQyaE0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7MaM2D2OjP0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7yhGDm1Rpg4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
84dKqZAgrKI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8GQvMt-ow4w,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8ruFVmxf0zs,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9V8bLTnGZ84,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9YS39FWQgto,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
a4c03JVk96c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
AeFXmIgxk1M,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ahj8Okm1v8o,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AHu0-yWIQ0g,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AZrFscGDnpU,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
B_gFCDs8CFw,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
B3U8s9DS588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
bcc3Gc-2yU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
bDQEImCyI0E,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
BFRVi0Nzjrk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
bfTSa1skOHY,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
BjQ6Y4_fqKo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
buWUpIJHEz4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BvfABFaiBVo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c4r916P4oyI,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CFqEeJM4t1s,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CHQkaKbHocs,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
cldggUgsjfo,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
cMHrfutBukY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
cN32-na-X-Q,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
cOMhdIq8P3k,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CT9mILHT6DM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CuKuomiEbKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DITSwtQjaXM,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
dvuI8OKtBwE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DwVq211J8Dg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
egRlvGL6XJ0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EIhFupwqOU4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EungfdgX_bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
f0fXsXb5NNk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
F6bKgMEFqjY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
f6EutSztzu4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
F6nu9tYTAvU,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
f7sE32OMVeI,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
fq57yNC_lqs,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
fSfp3SyllsU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FsRppK4xFNs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTIZ8DjT_FU,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FUzaDCPxB7k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FV2CEPyoKt0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
G1lLMGVfPSU,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
gf6BdD5U07k,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
H2-nP2xl9Zg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
h5FYeAXbi68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
H8bpOc85Nw4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HAxq9wVR2UY,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HfBk32lDm7Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hOdvL7QC4AM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HPWR_mpzY9I,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hSR_7mTgpVQ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
HXhRGpBHBnM,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
i7Ev0AepAmY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
i9Qv-6DG3Zw,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
iAWslxNC7e4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ic7OsHQZ61g,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ifLex3yyjaQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IGWnWkS_-yk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
iMJsnF7LMOw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
inLIFzn37xc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ioyEkXiyXYQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IVcLsQ0n-xw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
jc1KAalc_hE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JMVwY4MJGds,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
JoD2s1vGNP0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KBxNF8Qxz-Q,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
KcObqAoxKRI,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
kEBCXWhrjcc,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
KeuSqVtGi-E,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KpxWwvhfnRs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
kr3a2I5PR8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
k-tFHVkUjMU,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
kUyuKqIfMN0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
L95Lilzf6yQ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
LdiZSSeLRFU,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
lGDkbrhyIzY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LHXGxuN9PVw,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LmN8bybyQY8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LNtD_D7OWJs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
lPPNpMVKgdU,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
lrphH0-eAGI,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ltNiSFII2Lk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LuZ0FKGRsXA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
m2gILsP1mT4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
M6AXPf-2dUs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miy2mbs2zAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
mKS8VdPFHyk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ms69-3KEnSQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mv7zj_OIXR4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MZbR5VrsczM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
N1PJhncSoNY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
N3KcYzva8Dg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NdkJvtcHhwA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NepWHr7g5gU,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
NIc_3B-zTN0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
nirscVsKpQE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
NMwGU3tD44c,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ntXzVjEwl3o,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NvqRtP0Dh9I,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NW_A3VUHKVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
nZbdW91q5_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Oc3UEoc7C0s,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
oGL4KoHIYo8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
P1vgKLLF7Rg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
P8cDURx4Ryo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
peewxRlNVqg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
q1dLUamSlGM,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Q6MwHhWrhqQ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
qa-JJm8CiiU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QcFy_slVNfg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QfC9kifJyWI,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
QKv1OhXjdkE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Qo-TlQBDQ5c,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
qsfHl1zbKqM,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
QZ-RIhiBtpE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r4Y-furscmY,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
R86ZmIydQ34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rDE15cKeMR0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Re_DtZrsXbs,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
RFniTvmVc1w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rgt36vXH6jE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
rjF5jabXRCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rYTOmiIGCY4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
SjjTJjhH5QI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Sl9l8ngWBKs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SlV80DvSPyE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
SmvOPgSsLhw,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
SWz5PCTOgag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
szMuc8op7uk,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
T6gofsDJDj0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tazJxRmF7Uk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tdivW7inP0k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
tDMTSvTTNyM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TPABwh2E9Tg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
TrsVdQ7DjaQ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
tsEXhLvX1zY,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
U8_Bu4cPNXw,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uBgC2arm3mw,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
UmA-2Gkhytw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uyWKJ2o9gPM,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
V7qLe8_0Cag,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
VM7BlFwsR_o,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
vXxAD_Bwm34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
vyGPhUEdp-0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WLROgHKQHZk,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WTNcJeGMhs0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
wzYftndq1F8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
x8DGPcozQYk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
X92f6WH-qvg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xu46jvRlrRA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xyZx0pEbN0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
y3kz7aLRqfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YizYNWYi6FU,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ykUwJ7QGD2g,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YTb_DkUAFFw,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YyDMlXEZqb0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Z1IqewSDDcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
z5-YD7oBrZ8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Z625R9eljIc,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zhs1DwQB85c,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
zIAu4YnptHw,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
zMP3C3y8o_E,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ZseVAaGlTbk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ZWpgIvikHrU,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
